index,Patch_Name,Result,Label,Consistency
0,Patch205,Correct,Correct,C
4,Patch67,Incorrect,Incorrect,C
5,Patch64,Correct,Incorrect,I
8,Patch47,Incorrect,Correct,I
9,Patch69,Incorrect,Incorrect,C
10,Patch166,Correct,Incorrect,I
11,Patch28,Incorrect,Incorrect,C
12,Patch209,N/A,Correct,N/A
16,Patch42,Correct,Incorrect,I
18,Patch170,Correct,Incorrect,I
19,Patch168,Correct,Incorrect,I
20,Patch34,Correct,Incorrect,I
21,Patch31,Correct,Incorrect,I
23,Patch27,Incorrect,Incorrect,C
26,Patch59,Correct,Incorrect,I
27,PatchHDRepair9,Incorrect,Incorrect,C
28,Patch76,Correct,Incorrect,I
30,Patch51,Correct,Correct,C
32,Patch165,Correct,Incorrect,I
33,Patch194,Correct,Correct,C
35,Patch73,Correct,Incorrect,I
36,PatchHDRepair3,Correct,Incorrect,I
37,Patch174,Incorrect,Incorrect,C
38,Patch46,Correct,Correct,C
40,Patch156,N/A,Incorrect,N/A
41,Patch169,Incorrect,Incorrect,C
43,Patch49,Correct,Incorrect,I
44,Patch63,Correct,Incorrect,I
49,Patch155,Correct,Incorrect,I
52,Patch74,Incorrect,Incorrect,C
53,Patch43,Correct,Incorrect,I
55,Patch154,Incorrect,Incorrect,C
56,Patch158,Incorrect,Incorrect,C
57,Patch177,Correct,Incorrect,I
58,Patch167,Incorrect,Incorrect,C
59,Patch55,Correct,Incorrect,I
61,Patch77,Correct,Incorrect,I
62,Patch33,Incorrect,Incorrect,C
63,Patch66,Incorrect,Incorrect,C
64,Patch176,Correct,Incorrect,I
65,Patch65,Incorrect,Incorrect,C
66,PatchHDRepair7,Correct,Correct,C
68,Patch37,Correct,Incorrect,I
71,Patch206,Correct,Correct,C
72,PatchHDRepair5,Correct,Incorrect,I
73,Patch196,Correct,Correct,C
74,Patch161,Correct,Incorrect,I
75,Patch207,Correct,Correct,C
76,Patch53,Correct,Incorrect,I
77,Patch32,Incorrect,Incorrect,C
78,PatchHDRepair8,Incorrect,Incorrect,C
79,Patch45,Correct,Correct,C
82,Patch54,Correct,Correct,C
87,Patch29,Correct,Correct,C
89,Patch72,Incorrect,Incorrect,C
90,Patch201,Correct,Incorrect,I
92,Patch208,Correct,Incorrect,I
93,Patch172,Correct,Incorrect,I
94,Patch197,Correct,Correct,C
96,Patch30,Correct,Incorrect,I
97,Patch68,Incorrect,Incorrect,C
98,Patch75,Correct,Incorrect,I
102,Patch78,Correct,Incorrect,I
103,PatchHDRepair4,Correct,Correct,C
104,Patch159,Correct,Incorrect,I
105,Patch62,Correct,Incorrect,I
106,Patch204,Incorrect,Correct,I
107,Patch41,Correct,Incorrect,I
112,Patch38,Incorrect,Incorrect,C
113,Patch162,Correct,Incorrect,I
114,Patch160,Correct,Incorrect,I
115,Patch36,Correct,Incorrect,I
117,Patch44,Correct,Correct,C
118,Patch79,Correct,Incorrect,I
120,Patch157,Correct,Incorrect,I
122,Patch164,N/A,Incorrect,N/A
123,Patch163,Correct,Incorrect,I
125,Patch171,Correct,Incorrect,I
126,Patch202,Correct,Incorrect,I
127,Patch48,Incorrect,Incorrect,C
128,Patch198,Incorrect,Incorrect,C
130,Patch203,Correct,Correct,C
131,Patch58,Correct,Incorrect,I
133,Patch175,Correct,Incorrect,I
137,Patch173,Correct,Incorrect,I
138,PatchHDRepair6,Incorrect,Incorrect,C
