Patch_Name,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10
Patch205,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch11,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch180,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch22,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch67,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch64,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch190,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch82,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch47,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch69,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch166,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch28,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PatchHDRepair1,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch93,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch8,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch42,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch81,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch170,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch168,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch34,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch31,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch16,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch27,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch191,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch184,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch59,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
PatchHDRepair9,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch76,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch84,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch51,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch24,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch165,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch194,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch183,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing,Processing
Patch73,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
PatchHDRepair3,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch174,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch46,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch4,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch156,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patch169,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch153,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
Patch49,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch63,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
Patch151,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
