index,Patch_Name,Result,Label,Consistency
0,213_NFL_kPAR_Patch_12_11,N/A,Correct,N/A
1,566_PFL_FixMiner_Patch_41_9,N/A,Correct,N/A
2,36_PFL_AVATAR_Patch_15_2,N/A,Incorrect,N/A
3,293_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
4,597_NFL_SimFix_Patch_899_899,N/A,Correct,N/A
5,562_PFL_FixMiner_Patch_72_40,N/A,Incorrect,N/A
6,379_PFL_GenProg-A_Patch_39_7,Correct,Correct,C
7,232_PFL_ACS_Patch_28_1,N/A,Incorrect,N/A
8,423_NFL_ARJA_Patch_520_355,Incorrect,Incorrect,C
9,377_NFL_TBar_Patch_1_1,N/A,Incorrect,N/A
10,251_PFL_TBar_Patch_28_28,N/A,Correct,N/A
11,236_PFL_ACS_Patch_1_1,N/A,Correct,N/A
12,121_PFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
13,273_PFL_TBar_Patch_85_21,N/A,Incorrect,N/A
14,286_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
15,492_NFL_GenProg-A_Patch_817_386,Correct,Incorrect,I
16,408_NFL_TBar_Patch_1350_1039,N/A,Incorrect,N/A
17,227_NFL_kPAR_Patch_1889_735,N/A,Incorrect,N/A
18,274_NFL_Nopol_Patch_1_1,Correct,Incorrect,I
19,444_PFL_SimFix_Patch_17_17,N/A,Correct,N/A
20,486_PFL_SimFix_Patch_16_16,N/A,Correct,N/A
21,58_PFL_AVATAR_Patch_24_6,N/A,Correct,N/A
22,543_PFL_FixMiner_Patch_1_1,N/A,Correct,N/A
23,165_NFL_DynaMoth_Patch_1_1,Correct,Incorrect,I
24,352_PFL_ARJA_Patch_31_27,Incorrect,Incorrect,C
25,61_PFL_AVATAR_Patch_1_1,N/A,Correct,N/A
26,333_PFL_TBar_Patch_1_1,N/A,Correct,N/A
27,348_PFL_ARJA_Patch_53_43,Incorrect,Incorrect,C
28,638_NFL_FixMiner_Patch_93_43,N/A,Incorrect,N/A
