index,Patch_Name,Result,Label,Consistency
0,343_PFL_ARJA_Patch_5_5,Correct,Correct,C
1,357_NFL_TBar_Patch_114_72,N/A,Incorrect,N/A
2,379_PFL_GenProg-A_Patch_39_7,Correct,Correct,C
3,413_NFL_TBar_Patch_2_2,N/A,Correct,N/A
4,320_PFL_TBar_Patch_198_105,N/A,Incorrect,N/A
5,404_NFL_TBar_Patch_593_301,N/A,Incorrect,N/A
6,356_PFL_ARJA_Patch_130_99,Correct,Incorrect,I
7,369_PFL_ARJA_Patch_317_260,Correct,Incorrect,I
8,322_PFL_TBar_Patch_28_12,N/A,Correct,N/A
9,348_PFL_ARJA_Patch_53_43,Correct,Incorrect,I
10,360_NFL_TBar_Patch_14_12,N/A,Correct,N/A
11,393_PFL_GenProg-A_Patch_1644_339,Correct,Incorrect,I
12,323_NFL_ACS_Patch_5_5,N/A,Incorrect,N/A
13,334_NFL_ACS_Patch_2_1,N/A,Correct,N/A
14,366_PFL_ARJA_Patch_25_18,Correct,Incorrect,I
15,405_PFL_GenProg-A_Patch_2_2,Correct,Correct,C
16,323_PFL_TBar_Patch_16_6,N/A,Correct,N/A
17,335_NFL_ACS_Patch_1_1,N/A,Correct,N/A
18,383_NFL_TBar_Patch_931_596,N/A,Incorrect,N/A
19,412_PFL_RSRepair-A_Patch_62_43,Correct,Incorrect,I
20,324_NFL_ACS_Patch_2_1,N/A,Incorrect,N/A
21,338_NFL_TBar_Patch_28_28,N/A,Correct,N/A
22,357_PFL_ARJA_Patch_61_50,Correct,Incorrect,I
23,394_PFL_GenProg-A_Patch_2_1,Correct,Incorrect,I
24,325_NFL_ACS_Patch_1_1,N/A,Incorrect,N/A
25,341_PFL_TBar_Patch_2_2,N/A,Correct,N/A
26,365_PFL_ARJA_Patch_2_1,Correct,Incorrect,I
27,326_NFL_ACS_Patch_1_1,N/A,Correct,N/A
28,344_PFL_ARJA_Patch_16_14,Correct,Correct,C
29,360_PFL_ARJA_Patch_1_1,Correct,Incorrect,I
30,385_PFL_GenProg-A_Patch_5_5,Correct,Incorrect,I
31,410_NFL_TBar_Patch_16_7,N/A,Correct,N/A
32,327_NFL_ACS_Patch_15_1,N/A,Correct,N/A
33,338_PFL_TBar_Patch_167_35,N/A,Correct,N/A
34,373_PFL_ARJA_Patch_3_3,Correct,Correct,C
35,412_NFL_TBar_Patch_4046_2567,N/A,Incorrect,N/A
36,327_PFL_TBar_Patch_5_5,N/A,Correct,N/A
37,417_PFL_RSRepair-A_Patch_6_5,Correct,Incorrect,I
38,375_PFL_ARJA_Patch_27_22,Correct,Correct,C
39,409_PFL_RSRepair-A_Patch_25_7,Correct,Correct,C
40,330_NFL_ACS_Patch_2_2,N/A,Correct,N/A
41,353_NFL_TBar_Patch_1326_709,N/A,Incorrect,N/A
42,375_NFL_TBar_Patch_1789_1078,N/A,Incorrect,N/A
43,408_PFL_RSRepair-A_Patch_1738_1089,Correct,Correct,C
44,331_NFL_ACS_Patch_125_18,N/A,Correct,N/A
45,352_PFL_ARJA_Patch_31_27,Correct,Incorrect,I
46,399_PFL_GenProg-A_Patch_1122_956,Correct,Incorrect,I
47,332_NFL_ACS_Patch_2_2,N/A,Correct,N/A
48,333_PFL_TBar_Patch_1_1,N/A,Correct,N/A
49,387_NFL_TBar_Patch_3_1,N/A,Incorrect,N/A
50,398_PFL_GenProg-A_Patch_5_2,Correct,Incorrect,I
51,433_NFL_ARJA_Patch_6_5,Correct,Incorrect,I
52,364_PFL_ARJA_Patch_1_1,Correct,Correct,C
53,365_NFL_TBar_Patch_75_45,N/A,Incorrect,N/A
54,377_NFL_TBar_Patch_1_1,N/A,Incorrect,N/A
55,418_NFL_ARJA_Patch_21_15,Correct,Incorrect,I
56,421_NFL_ARJA_Patch_83_49,Correct,Incorrect,I
57,421_PFL_RSRepair-A_Patch_4_3,Correct,Incorrect,I
58,423_NFL_ARJA_Patch_520_355,Correct,Incorrect,I
59,424_PFL_RSRepair-A_Patch_353_69,Correct,Incorrect,I
60,425_PFL_RSRepair-A_Patch_3_1,Correct,Incorrect,I
61,429_PFL_RSRepair-A_Patch_25_7,Correct,Correct,C
62,430_PFL_RSRepair-A_Patch_4_1,Correct,Incorrect,I
63,433_PFL_RSRepair-A_Patch_67_37,Correct,Incorrect,I
64,437_PFL_RSRepair-A_Patch_2_2,Correct,Correct,C
