project,bug_ID,patch_ID,label,verdict,consistency,time
Chart,1,Patch1,Incorrect,A,I,613.1550927162169
Chart,1,Patch2,Incorrect,A,I,612.9909648895264
Chart,3,Patch4,Incorrect,A,I,612.9081418514253
Chart,5,Patch5,Incorrect,R,C,25.323096513748172
Chart,5,Patch6,Incorrect,R,C,25.75222587585449
Chart,5,Patch7,Incorrect,R,C,25.532809734344482
Chart,7,Patch8,Incorrect,A,I,612.5340001583098
Chart,9,Patch88,Incorrect,A,I,612.241325378418
Chart,13,Patch10,Incorrect,R,C,26.30063056945801
Chart,13,Patch11,Incorrect,R,C,25.92708301544189
Chart,13,Patch89,Incorrect,R,C,26.001290798187256
Chart,13,Patch9,Incorrect,R,C,11.91139817237854
Chart,15,Patch12,Incorrect,R,C,28.08291435241699
Chart,15,Patch13,Incorrect,R,C,27.745333433151245
Chart,17,Patch90,Incorrect,A,I,628.5203235149384
Chart,21,Patch14,Incorrect,R,C,25.532777786254886
Chart,21,Patch91,Incorrect,R,C,25.19483280181885
Chart,25,Patch15,Incorrect,R,C,28.35708546638489
Chart,25,Patch16,Incorrect,R,C,28.482872486114502
Chart,25,Patch17,Incorrect,R,C,28.55611991882324
Chart,25,Patch92,Incorrect,R,C,28.94644451141357
Chart,26,Patch18,Incorrect,A,I,612.7408404350282
Chart,26,Patch19,Incorrect,R,C,28.461164474487305
Chart,26,Patch93,Incorrect,R,C,28.21092009544373
Lang,24,361_NFL_TBar_Patch_2414_1931,Incorrect,A,I,611.0299303531648
Lang,35,Patch192,Incorrect,R,C,23.60344386100769
Lang,39,408_NFL_TBar_Patch_1350_1039,Incorrect,A,I,610.9989078044891
Lang,39,65_PFL_AVATAR_Patch_13_1,Incorrect,A,I,611.0544230937958
Lang,39,83_NFL_AVATAR_Patch_525_180,Incorrect,A,I,611.1728730201721
Lang,39,Patch193,Incorrect,R,C,23.590319395065308
Lang,39,Patch20,Incorrect,R,C,23.492040634155273
Lang,44,268_NFL_kPAR_Patch_3382_1595,Incorrect,R,C,22.357069969177246
Lang,44,298_NFL_Nopol_Patch_1_1,Incorrect,A,I,610.9895503520967
Lang,44,412_NFL_TBar_Patch_4046_2567,Incorrect,R,C,23.049731492996216
Lang,44,Patch150,Incorrect,R,C,22.883419513702393
Lang,46,Patch22,Incorrect,R,C,10.53532075881958
Lang,51,Patch151,Incorrect,R,C,32.954418659210205
Lang,51,Patch23,Incorrect,R,C,25.221819400787354
Lang,53,225_NFL_kPAR_Patch_1593_845,Incorrect,R,C,10.496972322463991
Lang,53,279_NFL_Nopol_Patch_1_1,Incorrect,A,I,611.0029652118683
Lang,53,Patch152,Incorrect,A,I,610.8322660923003
Lang,53,Patch24,Incorrect,A,I,611.0035851001741
Lang,55,206_PFL_Nopol_Patch_1_1,Incorrect,A,I,611.2529807090758
Lang,55,285_NFL_Nopol_Patch_1_1,Incorrect,A,I,611.2227628231049
Lang,58,115_PFL_DynaMoth_Patch_1_1,Incorrect,R,C,22.8209285736084
Lang,58,157_PFL_kPAR_Patch_1_1,Incorrect,R,C,22.826661586761475
Lang,58,204_PFL_Nopol_Patch_1_1,Incorrect,R,C,22.859632730484012
Lang,58,227_NFL_kPAR_Patch_1889_735,Incorrect,R,C,22.885168313980106
Lang,58,280_NFL_Nopol_Patch_1_1,Incorrect,A,I,611.1422882080077
Lang,58,286_PFL_TBar_Patch_9_9,Incorrect,R,C,22.98739457130432
Lang,58,29_PFL_AVATAR_Patch_5_5,Incorrect,A,I,610.9449901580809
Lang,58,375_NFL_TBar_Patch_1789_1078,Incorrect,R,C,23.101566314697266
Lang,58,47_NFL_AVATAR_Patch_999_513,Incorrect,A,I,610.9029231071472
Lang,58,534_PFL_FixMiner_Patch_1_1,Incorrect,R,C,22.571203231811523
Lang,58,Patch153,Incorrect,R,C,22.399855136871338
Lang,58,Patch26,Incorrect,R,C,22.695830821990967
Math,2,202_NFL_kPAR_Patch_155_56,Incorrect,A,I,615.5051329135895
Math,2,272_NFL_Nopol_Patch_1_1,Incorrect,A,I,615.6290864944457
Math,2,27_NFL_AVATAR_Patch_367_117,Incorrect,R,C,36.601921558380134
Math,2,345_NFL_TBar_Patch_468_285,Incorrect,A,I,615.3429081439973
Math,2,474_NFL_GenProg-A_Patch_35_11,Incorrect,A,I,615.8533842563628
Math,2,87_NFL_Kali-A_Patch_6_6,Incorrect,A,I,615.7050285339354
Math,2,Patch154,Incorrect,A,I,615.3990526199342
Math,2,Patch27,Incorrect,A,I,615.4457356929779
Math,2,Patch28,Incorrect,A,I,615.7001163959502
Math,4,178_PFL_kPAR_Patch_4_2,Incorrect,R,C,14.987803220748901
Math,4,179_PFL_kPAR_Patch_2_1,Incorrect,R,C,14.735015630722046
Math,4,294_NFL_Nopol_Patch_1_1,Incorrect,R,C,14.970683336257935
Math,4,322_PFL_TBar_Patch_28_12,Incorrect,R,C,14.63567852973938
Math,4,323_PFL_TBar_Patch_16_6,Incorrect,A,I,615.8076810836793
Math,4,566_PFL_FixMiner_Patch_41_9,Incorrect,R,C,14.84400510787964
Math,4,567_PFL_FixMiner_Patch_24_6,Incorrect,A,I,615.3909504413605
Math,4,58_PFL_AVATAR_Patch_24_6,Incorrect,A,I,615.0754063129425
Math,4,59_PFL_AVATAR_Patch_40_11,Incorrect,R,C,14.835742235183716
Math,4,Patch155,Incorrect,R,C,14.991904973983765
Math,7,247_NFL_kPAR_Patch_405_243,Incorrect,A,I,616.6130759716034
Math,7,291_NFL_Nopol_Patch_1_1,Incorrect,A,I,615.3358869552612
Math,8,143_PFL_kPAR_Patch_14_3,Incorrect,A,I,615.3640995025635
Math,8,155_NFL_DynaMoth_Patch_1_1,Incorrect,R,C,30.315382957458496
