ID,Group name,Test name,Minutes,Seconds,Method,Correctness,Time,Grade Group,Experience
1,First group,Test 1 (Q1),16,21,Poracle,Correct,,Top-50%,Very Positive
1,First group,Test 2 (Q2),15,29,Poracle,Correct,,Top-50%,Positive
1,First group,Test 3 (Q3),27,54,Manual,Incorrect,,Top-50%,Very Negative
1,First group,Test 4 (Q4),8,28,Manual,Correct,,Top-50%,Neutral
2,First group,Test 1 (Q1),,,Poracle,Incorrect,1906,Low-50%,
2,First group,Test 2 (Q2),,,Poracle,Incorrect,90,Low-50%,
2,First group,Test 3 (Q3),,,Manual,Incorrect,4259,Low-50%,
2,First group,Test 4 (Q4),,,Manual,Incorrect,N/A,Low-50%,
3,Second group,Test 1 (Q3),21,17,Poracle,Incorrect,64,Low-50%,Negative
3,Second group,Test 2 (Q4),38,38,Poracle,Incorrect,19,Low-50%,Negative
3,Second group,Test 3 (Q1),8,26,Manual,Incorrect,1441,Low-50%,Neutral
3,Second group,Test 4 (Q2),4,41,Manual,Correct,534,Low-50%,Positive
4,First group,Test 1 (Q1),19,26,Poracle,Correct,861,Low-50%,Positive
4,First group,Test 2 (Q2),20,44,Poracle,Correct,528,Low-50%,Neutral
4,First group,Test 3 (Q3),32,56,Manual,Correct,468,Low-50%,Negative
4,First group,Test 4 (Q4),6,49,Manual,Correct,1157,Low-50%,Negative
5,Second group,Test 1 (Q3),,,Poracle,Incorrect,,Low-50%,
5,Second group,Test 2 (Q4),,,Poracle,Incorrect,,Low-50%,
5,Second group,Test 3 (Q1),0,41,Manual,Correct,,Low-50%,Neutral
5,Second group,Test 4 (Q2),4,6,Manual,Correct,,Low-50%,Negative
6,First group,Test 1 (Q1),30,52,Poracle,Correct,,Top-50%,Positive
6,First group,Test 2 (Q2),14,23,Poracle,Correct,,Top-50%,Very Positive
6,First group,Test 3 (Q3),22,25,Manual,Correct,,Top-50%,Neutral
6,First group,Test 4 (Q4),15,21,Manual,Correct,,Top-50%,Neutral
7,Second group,Test 1 (Q3),104,53,Poracle,Correct,0,Top-50%,
7,Second group,Test 2 (Q4),91,43,Poracle,Correct,0,Top-50%,
7,Second group,Test 3 (Q1),84,23,Manual,Incorrect,728,Top-50%,Positive
7,Second group,Test 4 (Q2),63,48,Manual,Correct,1330,Top-50%,Positive
8,Second group,Test 1 (Q3),16,10,Poracle,Correct,,Top-50%,Positive
8,Second group,Test 2 (Q4),8,17,Poracle,Correct,,Top-50%,Positive
8,Second group,Test 3 (Q1),15,30,Manual,Correct,,Top-50%,Positive
8,Second group,Test 4 (Q2),10,52,Manual,Correct,,Top-50%,Positive
9,First group,Test 1 (Q1),,,Poracle,Incorrect,634,Low-50%,
9,First group,Test 2 (Q2),,,Poracle,Incorrect,1506,Low-50%,
9,First group,Test 3 (Q3),,,Manual,Incorrect,36,Low-50%,
9,First group,Test 4 (Q4),,,Manual,Incorrect,904,Low-50%,
10,First group,Test 1 (Q1),,,Poracle,Incorrect,1723,,
10,First group,Test 2 (Q2),,,Poracle,Incorrect,903,,
10,First group,Test 3 (Q3),,,Manual,Incorrect,1198,,
